t-SNE_1,t-SNE_2
-69.232574,-20.458992
-69.55693,-20.271828
-63.576008,-23.530195
-70.08906,-19.008863
-69.77538,-19.1852
-69.246,-19.803156
-67.7851,-21.4208
-70.1361,-19.22059
-67.82732,-21.405045
-67.68641,-21.694448
-67.62597,-22.003832
-32.68719,5.7344494
-21.320276,7.533163
-23.700537,9.39256
-47.099277,-7.6747913
-33.120937,6.0666947
-30.159985,4.981901
-21.287952,7.31406
-30.804018,4.4178996
-22.890686,12.521288
-22.669567,7.010301
-20.3297,11.746327
-6.2183495,-76.09489
-6.981599,-80.9441
-4.6986804,-74.89476
-6.4718523,-75.742096
-5.835967,-74.7464
-7.000555,-75.59427
-7.604935,-75.46447
-4.8028984,-74.07062
-2.3499796,-74.51849
-1.6801593,-74.759926
-0.57766587,-74.75654
-22.788782,55.752525
-19.435555,61.665455
-19.283854,61.755848
-18.458414,62.59657
-18.338034,62.76024
-20.500046,67.225075
-20.48189,67.22267
-20.31987,65.9691
-19.818266,65.57125
-15.343158,63.569977
-12.97212,62.52707
-43.98933,40.51609
-43.891045,48.436577
-43.946117,48.328354
-41.312714,47.584576
-43.848557,48.090794
-42.960243,36.07639
-44.193134,48.341724
-44.068844,48.147655
-41.35169,47.80899
-43.84982,48.03444
-44.036938,48.254864
-23.463926,-12.671823
27.90777,21.581324
41.41498,21.582022
41.49962,21.130848
40.10837,20.061749
41.16683,20.950382
41.390263,21.385475
39.307007,19.614437
39.706284,19.714996
40.793472,20.397118
39.94655,19.925692
5.4596562,35.278435
3.3419764,36.085648
5.4471617,36.20355
6.163622,35.26833
6.750533,35.189327
4.9504027,45.539444
7.23416,40.050934
7.319021,39.85099
7.2506075,39.677498
7.3896914,39.91365
-33.46342,4.8828177
41.332653,49.924984
41.375584,49.85528
43.889492,49.105488
43.47415,49.333027
43.78939,49.115757
43.02774,49.72599
44.066437,49.398914
42.447758,50.199303
42.176617,50.145283
39.887367,50.15094
43.31871,50.035816
-63.79328,-5.5304513
-43.777058,7.791182
-23.447144,34.143566
-23.441729,34.86077
-23.572844,35.139652
-9.360196,8.177575
-23.618984,35.270885
-7.419284,6.160571
-21.223278,8.37708
-18.854553,11.283291
-19.061773,11.358829
14.804419,84.69891
15.006799,82.88332
14.944796,84.18876
15.108867,84.827286
15.282477,84.71823
15.157722,85.25287
14.42025,86.18624
12.6759,90.244804
12.656071,90.09343
12.769048,89.28077
14.368061,88.343124
5.8348703,-4.4473124
-0.09134734,-16.721949
-0.104320824,-16.696812
-1.0249895,-23.52142
-30.40816,-38.84997
-37.524864,-44.84386
-38.366405,-47.41337
-39.266888,-46.8314
-38.450645,-47.495033
-39.918144,-46.389297
-40.950924,-47.859627
-50.607376,40.469135
-50.479942,40.539795
-39.00412,31.82106
-50.171574,40.454685
-49.54863,40.593143
-48.327244,48.327087
-45.394035,47.65367
-47.589653,48.648956
-47.842968,48.762466
-51.9243,42.425034
-45.578934,47.673298
-67.67678,-40.367424
-14.5302925,22.497707
-6.5443664,27.193913
-16.349182,25.236794
-8.222725,28.499569
-8.108672,28.528152
-8.1560545,28.555317
-28.831318,25.53856
-8.259107,28.506409
-7.1720085,29.267721
-6.994482,29.593027
9.02156,-58.81574
5.917103,-62.209663
9.1930275,-58.61237
8.410995,-58.40878
3.07207,-61.122063
7.4942484,-58.639908
4.0653176,-61.16521
5.57037,-61.133526
8.381446,-35.597195
17.241692,-28.132204
22.77919,-14.140145
-2.1127946,60.16399
2.5469856,62.14453
6.0976405,64.21432
3.7938142,65.862434
1.4458709,67.65239
4.2963057,66.461006
1.1527027,68.0472
4.775849,66.66485
4.5350065,66.58451
5.0227256,66.32658
7.865307,67.68289
25.489017,-38.229176
25.771519,-38.092003
25.791471,-38.028763
47.297466,0.21290228
44.098145,-2.7436998
