t-SNE_Enhanced_1,t-SNE_Enhanced_2
-61.369534,-60.440987
-61.37536,-60.41452
-60.311653,-59.994316
-61.596764,-60.281307
-61.26276,-60.029907
-61.10099,-60.11837
-60.75297,-59.860676
-61.51991,-60.324028
-60.799232,-59.75329
-60.725536,-59.420475
-60.589966,-59.003387
-48.932007,-39.495487
-50.279015,-37.84588
-50.244976,-37.969246
-49.282833,-39.85017
-48.91245,-39.612316
-49.31908,-39.59276
-50.46447,-37.74742
-49.18124,-39.783024
-50.658184,-37.683662
-50.680023,-37.85399
-50.514214,-37.210464
-9.480059,-81.57854
-9.890096,-81.36948
-9.995936,-80.02549
-9.728922,-81.117
-10.513065,-80.159225
-10.060984,-80.99498
-10.506792,-80.6813
-11.077175,-78.89925
-11.358462,-78.56129
-11.49947,-77.91828
-11.508273,-77.34171
-45.03779,29.204567
-45.14375,30.287607
-45.124542,30.837296
-45.05873,31.206566
-45.073128,31.511229
-45.778954,32.237877
-45.89772,32.423153
-45.873432,32.4369
-46.00225,32.941635
-46.80978,34.29952
-46.942482,34.705017
-59.909,-1.3833048
-59.38361,-0.77975535
-59.458805,-0.32889992
-59.12894,0.9732056
-59.1596,0.44750085
-59.07653,1.7131852
-59.43234,0.32615805
-59.276516,0.59365237
-59.090733,1.0049309
-58.912148,0.82666266
-59.324406,0.34136394
1.4473732,4.1685033
3.8762944,6.124243
2.9186115,4.509768
2.2946837,3.795809
3.2554786,5.1880007
3.0850773,4.7954392
3.0258386,4.644948
3.5931265,6.0812163
3.277899,5.4357
2.8806353,4.593871
3.4028983,5.5266767
-0.20510267,95.08836
-0.33294886,95.51935
0.05439222,95.074684
0.34688103,94.50574
0.70969146,94.19001
-0.30982974,95.65543
0.31898704,95.34473
0.4339607,95.0631
0.46555358,94.58208
0.5261864,95.320145
6.434978,95.790504
26.418505,64.22528
26.292622,64.20235
27.183037,64.79467
27.489529,64.81858
27.596046,64.90089
27.5127,65.05657
27.50693,65.12897
27.208826,65.295555
26.973255,65.12768
26.132597,64.81767
27.34585,65.31363
-28.920183,68.56919
-28.920227,68.612816
-29.088583,68.9038
-29.180567,69.177475
-29.252449,69.611496
-29.298098,70.180214
-29.356138,70.22041
-29.290659,70.48301
-29.246458,70.44545
-29.404186,70.6005
-29.475506,70.758385
-44.777473,46.084236
-44.96502,46.291767
-44.967186,46.263012
-45.097336,46.47544
-45.05528,46.516838
-45.277664,46.77668
-45.340527,46.643703
-45.50034,47.362885
-45.59283,47.504463
-45.70703,47.509876
-45.828735,46.91911
66.13279,14.10503
66.00461,13.991567
